PERSON: 1 , "Alice" , "Smith" , 1960 , 1.50 , 50.00
PERSON: 49 , "Ivy" , "Rodriguez" , 1977 , 1.98 , 74.00
PERSON: 50 , "Jack" , "Wilson" , 1978 , 1.99 , 74.50
PERSON: 51 , "Karen" , "Martinez" , 1979 , 2.00 , 75.00
PERSON: 52 , "Leo" , "Anderson" , 1980 , 2.01 , 75.50
PERSON: 53 , "Mona" , "Taylor" , 1981 , 2.02 , 76.00
PERSON: 54 , "Nina" , "Thomas" , 1982 , 2.03 , 76.50
PERSON: 55 , "Oscar" , "Hernandez" , 1983 , 2.04 , 77.00
PERSON: 56 , "Paula" , "Moore" , 1984 , 2.05 , 77.50
PERSON: 57 , "Quentin" , "Martin" , 1985 , 2.06 , 78.00
PERSON: 58 , "Rachel" , "Jackson" , 1986 , 2.07 , 78.50
PERSON: 59 , "Steve" , "Thompson" , 1987 , 2.08 , 79.00
PERSON: 60 , "Tina" , "White" , 1988 , 2.09 , 79.50
PERSON: 61 , "Alice" , "Smith" , 1989 , 2.10 , 80.00
PERSON: 62 , "Bob" , "Johnson" , 1990 , 2.11 , 80.50
PERSON: 63 , "Charlie" , "Brown" , 1960 , 2.12 , 81.00
PERSON: 64 , "Diana" , "Williams" , 1961 , 2.13 , 81.50
PERSON: 65 , "Eve" , "Jones" , 1962 , 2.14 , 82.00
PERSON: 66 , "Frank" , "Miller" , 1963 , 2.15 , 82.50
PERSON: 67 , "Grace" , "Davis" , 1964 , 2.16 , 83.00
PERSON: 68 , "Hank" , "Garcia" , 1965 , 2.17 , 83.50
PERSON: 69 , "Ivy" , "Rodriguez" , 1966 , 2.18 , 84.00
PERSON: 70 , "Jack" , "Wilson" , 1967 , 2.19 , 84.50
PERSON: 71 , "Karen" , "Martinez" , 1968 , 2.20 , 85.00
PERSON: 72 , "Leo" , "Anderson" , 1969 , 2.21 , 85.50
PERSON: 73 , "Mona" , "Taylor" , 1970 , 2.22 , 86.00
PERSON: 74 , "Nina" , "Thomas" , 1971 , 2.23 , 86.50
PERSON: 75 , "Oscar" , "Hernandez" , 1972 , 2.24 , 87.00
PERSON: 76 , "Paula" , "Moore" , 1973 , 2.25 , 87.50
PERSON: 77 , "Quentin" , "Martin" , 1974 , 2.26 , 88.00
PERSON: 78 , "Rachel" , "Jackson" , 1975 , 2.27 , 88.50
PERSON: 79 , "Steve" , "Thompson" , 1976 , 2.28 , 89.00
PERSON: 80 , "Tina" , "White" , 1977 , 2.29 , 89.50
PERSON: 81 , "Alice" , "Smith" , 1978 , 2.30 , 90.00
PERSON: 82 , "Bob" , "Johnson" , 1979 , 2.31 , 90.50
PERSON: 83 , "Charlie" , "Brown" , 1980 , 2.32 , 91.00
PERSON: 84 , "Diana" , "Williams" , 1981 , 2.33 , 91.50
PERSON: 85 , "Eve" , "Jones" , 1982 , 2.34 , 92.00
PERSON: 86 , "Frank" , "Miller" , 1983 , 2.35 , 92.50
PERSON: 87 , "Grace" , "Davis" , 1984 , 2.36 , 93.00
PERSON: 88 , "Hank" , "Garcia" , 1985 , 2.37 , 93.50
PERSON: 89 , "Ivy" , "Rodriguez" , 1986 , 2.38 , 94.00
PERSON: 90 , "Jack" , "Wilson" , 1987 , 2.39 , 94.50
PERSON: 91 , "Karen" , "Martinez" , 1988 , 2.40 , 95.00
PERSON: 92 , "Leo" , "Anderson" , 1989 , 2.41 , 95.50
PERSON: 93 , "Mona" , "Taylor" , 1990 , 2.42 , 96.00
PERSON: 94 , "Nina" , "Thomas" , 1960 , 2.43 , 96.50
PERSON: 95 , "Oscar" , "Hernandez" , 1961 , 2.44 , 97.00
PERSON: 96 , "Paula" , "Moore" , 1962 , 2.45 , 97.50
PERSON: 97 , "Quentin" , "Martin" , 1963 , 2.46 , 98.00
PERSON: 98 , "Rachel" , "Jackson" , 1964 , 2.47 , 98.50
PERSON: 99 , "Steve" , "Thompson" , 1965 , 2.48 , 99.00
PERSON: 100 , "Tina" , "White" , 1966 , 2.49 , 99.50
